Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution
1, Two Sum,"['Array', 'Hash Table']",54.10%,FALSE,Easy,https://leetcode.com/problems/two-sum/description,https://leetcode.com/problems/two-sum/solutions
2, Add Two Numbers,"['Linked List', 'Math', 'Recursion']",44.50%,FALSE,Medium,https://leetcode.com/problems/add-two-numbers/description,https://leetcode.com/problems/add-two-numbers/solutions
3, Longest Substring Without Repeating Characters,"['Hash Table', 'String', 'Sliding Window']",35.70%,FALSE,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/description,https://leetcode.com/problems/longest-substring-without-repeating-characters/solutions
4, Median of Two Sorted Arrays,"['Array', 'Binary Search', '1+']",41.80%,FALSE,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/description,https://leetcode.com/problems/median-of-two-sorted-arrays/solutions
5, Longest Palindromic Substring,"['Two Pointers', 'String', '1+']",34.70%,FALSE,Medium,https://leetcode.com/problems/longest-palindromic-substring/description,https://leetcode.com/problems/longest-palindromic-substring/solutions
6, Zigzag Conversion,['String'],49.70%,FALSE,Medium,https://leetcode.com/problems/zigzag-conversion/description,https://leetcode.com/problems/zigzag-conversion/solutions
7, Reverse Integer,['Math'],29.30%,FALSE,Medium,https://leetcode.com/problems/reverse-integer/description,https://leetcode.com/problems/reverse-integer/solutions
8, String to Integer (atoi),['String'],18.10%,FALSE,Medium,https://leetcode.com/problems/string-to-integer-(atoi)/description,https://leetcode.com/problems/string-to-integer-(atoi)/solutions
9, Palindrome Number,['Math'],57.80%,FALSE,Easy,https://leetcode.com/problems/palindrome-number/description,https://leetcode.com/problems/palindrome-number/solutions
10, Regular Expression Matching,"['String', 'Dynamic Programming', 'Recursion']",28.50%,FALSE,Hard,https://leetcode.com/problems/regular-expression-matching/description,https://leetcode.com/problems/regular-expression-matching/solutions
11, Container With Most Water,"['Array', 'Two Pointers', 'Greedy']",56.40%,FALSE,Medium,https://leetcode.com/problems/container-with-most-water/description,https://leetcode.com/problems/container-with-most-water/solutions
12, Integer to Roman,"['Hash Table', 'Math', 'String']",66.70%,FALSE,Medium,https://leetcode.com/problems/integer-to-roman/description,https://leetcode.com/problems/integer-to-roman/solutions
13, Roman to Integer,"['Hash Table', 'Math', 'String']",63.10%,FALSE,Easy,https://leetcode.com/problems/roman-to-integer/description,https://leetcode.com/problems/roman-to-integer/solutions
14, Longest Common Prefix,"['String', 'Trie']",44.10%,FALSE,Easy,https://leetcode.com/problems/longest-common-prefix/description,https://leetcode.com/problems/longest-common-prefix/solutions
15, 3Sum,"['Array', 'Two Pointers', 'Sorting']",35.60%,FALSE,Medium,https://leetcode.com/problems/3sum/description,https://leetcode.com/problems/3sum/solutions
16, 3Sum Closest,"['Array', 'Two Pointers', 'Sorting']",46.20%,FALSE,Medium,https://leetcode.com/problems/3sum-closest/description,https://leetcode.com/problems/3sum-closest/solutions
17, Letter Combinations of a Phone Number,"['Hash Table', 'String', 'Backtracking']",62.10%,FALSE,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description,https://leetcode.com/problems/letter-combinations-of-a-phone-number/solutions
18, 4Sum,"['Array', 'Two Pointers', 'Sorting']",36.90%,FALSE,Medium,https://leetcode.com/problems/4sum/description,https://leetcode.com/problems/4sum/solutions
19, Remove Nth Node From End of List,"['Linked List', 'Two Pointers']",47.10%,FALSE,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description,https://leetcode.com/problems/remove-nth-node-from-end-of-list/solutions
20, Valid Parentheses,"['String', 'Stack']",41.30%,FALSE,Easy,https://leetcode.com/problems/valid-parentheses/description,https://leetcode.com/problems/valid-parentheses/solutions
21, Merge Two Sorted Lists,"['Linked List', 'Recursion']",65.60%,FALSE,Easy,https://leetcode.com/problems/merge-two-sorted-lists/description,https://leetcode.com/problems/merge-two-sorted-lists/solutions
22, Generate Parentheses,"['String', 'Dynamic Programming', '1+']",75.80%,FALSE,Medium,https://leetcode.com/problems/generate-parentheses/description,https://leetcode.com/problems/generate-parentheses/solutions
23, Merge k Sorted Lists,"['Linked List', 'Divide and Conquer', '2+']",54.60%,FALSE,Hard,https://leetcode.com/problems/merge-k-sorted-lists/description,https://leetcode.com/problems/merge-k-sorted-lists/solutions
24, Swap Nodes in Pairs,"['Linked List', 'Recursion']",65.60%,FALSE,Medium,https://leetcode.com/problems/swap-nodes-in-pairs/description,https://leetcode.com/problems/swap-nodes-in-pairs/solutions
25, Reverse Nodes in k-Group,"['Linked List', 'Recursion']",60.80%,FALSE,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/description,https://leetcode.com/problems/reverse-nodes-in-k-group/solutions
26, Remove Duplicates from Sorted Array,"['Array', 'Two Pointers']",58.10%,FALSE,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solutions
27, Remove Element,"['Array', 'Two Pointers']",58.60%,FALSE,Easy,https://leetcode.com/problems/remove-element/description,https://leetcode.com/problems/remove-element/solutions
28, Find the Index of the First Occurrence in a String,"['Two Pointers', 'String', 'String Matching']",43.70%,FALSE,Easy,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/solutions
29, Divide Two Integers,"['Math', 'Bit Manipulation']",17.80%,FALSE,Medium,https://leetcode.com/problems/divide-two-integers/description,https://leetcode.com/problems/divide-two-integers/solutions
30, Substring with Concatenation of All Words,"['Hash Table', 'String', 'Sliding Window']",32.50%,FALSE,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description,https://leetcode.com/problems/substring-with-concatenation-of-all-words/solutions
31, Next Permutation,"['Array', 'Two Pointers']",41.40%,FALSE,Medium,https://leetcode.com/problems/next-permutation/description,https://leetcode.com/problems/next-permutation/solutions
32, Longest Valid Parentheses,"['String', 'Dynamic Programming', 'Stack']",35.00%,FALSE,Hard,https://leetcode.com/problems/longest-valid-parentheses/description,https://leetcode.com/problems/longest-valid-parentheses/solutions
33, Search in Rotated Sorted Array,"['Array', 'Binary Search']",41.70%,FALSE,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/description,https://leetcode.com/problems/search-in-rotated-sorted-array/solutions
34, Find First and Last Position of Element in Sorted Array,"['Array', 'Binary Search']",45.40%,FALSE,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/solutions
35, Search Insert Position,"['Array', 'Binary Search']",47.50%,FALSE,Easy,https://leetcode.com/problems/search-insert-position/description,https://leetcode.com/problems/search-insert-position/solutions
36, Valid Sudoku,"['Array', 'Hash Table', 'Matrix']",60.90%,FALSE,Medium,https://leetcode.com/problems/valid-sudoku/description,https://leetcode.com/problems/valid-sudoku/solutions
37, Sudoku Solver,"['Array', 'Hash Table', 'Backtracking', '1+']",63.30%,FALSE,Hard,https://leetcode.com/problems/sudoku-solver/description,https://leetcode.com/problems/sudoku-solver/solutions
38, Count and Say,['String'],56.80%,FALSE,Medium,https://leetcode.com/problems/count-and-say/description,https://leetcode.com/problems/count-and-say/solutions
39, Combination Sum,"['Array', 'Backtracking']",73.10%,FALSE,Medium,https://leetcode.com/problems/combination-sum/description,https://leetcode.com/problems/combination-sum/solutions
40, Combination Sum II,"['Array', 'Backtracking']",56.60%,FALSE,Medium,https://leetcode.com/problems/combination-sum-ii/description,https://leetcode.com/problems/combination-sum-ii/solutions
41, First Missing Positive,"['Array', 'Hash Table']",40.10%,FALSE,Hard,https://leetcode.com/problems/first-missing-positive/description,https://leetcode.com/problems/first-missing-positive/solutions
42, Trapping Rain Water,"['Array', 'Two Pointers', '3+']",63.40%,FALSE,Hard,https://leetcode.com/problems/trapping-rain-water/description,https://leetcode.com/problems/trapping-rain-water/solutions
43, Multiply Strings,"['Math', 'String', 'Simulation']",41.20%,FALSE,Medium,https://leetcode.com/problems/multiply-strings/description,https://leetcode.com/problems/multiply-strings/solutions
44, Wildcard Matching,"['String', 'Dynamic Programming', '2+']",28.80%,FALSE,Hard,https://leetcode.com/problems/wildcard-matching/description,https://leetcode.com/problems/wildcard-matching/solutions
45, Jump Game II,"['Array', 'Dynamic Programming', 'Greedy']",40.80%,FALSE,Medium,https://leetcode.com/problems/jump-game-ii/description,https://leetcode.com/problems/jump-game-ii/solutions
46, Permutations,"['Array', 'Backtracking']",79.50%,FALSE,Medium,https://leetcode.com/problems/permutations/description,https://leetcode.com/problems/permutations/solutions
47, Permutations II,"['Array', 'Backtracking']",60.30%,FALSE,Medium,https://leetcode.com/problems/permutations-ii/description,https://leetcode.com/problems/permutations-ii/solutions
48, Rotate Image,"['Array', 'Math', 'Matrix']",76.20%,FALSE,Medium,https://leetcode.com/problems/rotate-image/description,https://leetcode.com/problems/rotate-image/solutions
49, Group Anagrams,"['Array', 'Hash Table', 'String', '1+']",69.70%,FALSE,Medium,https://leetcode.com/problems/group-anagrams/description,https://leetcode.com/problems/group-anagrams/solutions
50," Pow(x, n)","['Math', 'Recursion']",35.80%,FALSE,Medium,"https://leetcode.com/problems/pow(x,-n)/description","https://leetcode.com/problems/pow(x,-n)/solutions"
51, N-Queens,"['Array', 'Backtracking']",70.40%,FALSE,Hard,https://leetcode.com/problems/n-queens/description,https://leetcode.com/problems/n-queens/solutions
52, N-Queens II,['Backtracking'],75.20%,FALSE,Hard,https://leetcode.com/problems/n-queens-ii/description,https://leetcode.com/problems/n-queens-ii/solutions
53, Maximum Subarray,"['Array', 'Divide and Conquer', '1+']",51.30%,FALSE,Medium,https://leetcode.com/problems/maximum-subarray/description,https://leetcode.com/problems/maximum-subarray/solutions
54, Spiral Matrix,"['Array', 'Matrix', 'Simulation']",51.80%,FALSE,Medium,https://leetcode.com/problems/spiral-matrix/description,https://leetcode.com/problems/spiral-matrix/solutions
55, Jump Game,"['Array', 'Dynamic Programming', 'Greedy']",38.90%,FALSE,Medium,https://leetcode.com/problems/jump-game/description,https://leetcode.com/problems/jump-game/solutions
56, Merge Intervals,"['Array', 'Sorting']",48.20%,FALSE,Medium,https://leetcode.com/problems/merge-intervals/description,https://leetcode.com/problems/merge-intervals/solutions
57, Insert Interval,['Array'],42.40%,FALSE,Medium,https://leetcode.com/problems/insert-interval/description,https://leetcode.com/problems/insert-interval/solutions
58, Length of Last Word,['String'],54.20%,FALSE,Easy,https://leetcode.com/problems/length-of-last-word/description,https://leetcode.com/problems/length-of-last-word/solutions
59, Spiral Matrix II,"['Array', 'Matrix', 'Simulation']",72.30%,FALSE,Medium,https://leetcode.com/problems/spiral-matrix-ii/description,https://leetcode.com/problems/spiral-matrix-ii/solutions
60, Permutation Sequence,"['Math', 'Recursion']",48.40%,FALSE,Hard,https://leetcode.com/problems/permutation-sequence/description,https://leetcode.com/problems/permutation-sequence/solutions
61, Rotate List,"['Linked List', 'Two Pointers']",38.80%,FALSE,Medium,https://leetcode.com/problems/rotate-list/description,https://leetcode.com/problems/rotate-list/solutions
62, Unique Paths,"['Math', 'Dynamic Programming', '1+']",65.00%,FALSE,Medium,https://leetcode.com/problems/unique-paths/description,https://leetcode.com/problems/unique-paths/solutions
63, Unique Paths II,"['Array', 'Dynamic Programming', 'Matrix']",42.30%,FALSE,Medium,https://leetcode.com/problems/unique-paths-ii/description,https://leetcode.com/problems/unique-paths-ii/solutions
64, Minimum Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",65.20%,FALSE,Medium,https://leetcode.com/problems/minimum-path-sum/description,https://leetcode.com/problems/minimum-path-sum/solutions
65, Valid Number,['String'],20.50%,FALSE,Hard,https://leetcode.com/problems/valid-number/description,https://leetcode.com/problems/valid-number/solutions
66, Plus One,"['Array', 'Math']",46.40%,FALSE,Easy,https://leetcode.com/problems/plus-one/description,https://leetcode.com/problems/plus-one/solutions
67, Add Binary,"['Math', 'String', 'Bit Manipulation', '1+']",54.50%,FALSE,Easy,https://leetcode.com/problems/add-binary/description,https://leetcode.com/problems/add-binary/solutions
68, Text Justification,"['Array', 'String', 'Simulation']",45.70%,FALSE,Hard,https://leetcode.com/problems/text-justification/description,https://leetcode.com/problems/text-justification/solutions
69, Sqrt(x),"['Math', 'Binary Search']",39.50%,FALSE,Easy,https://leetcode.com/problems/sqrt(x)/description,https://leetcode.com/problems/sqrt(x)/solutions
70, Climbing Stairs,"['Math', 'Dynamic Programming', '1+']",53.20%,FALSE,Easy,https://leetcode.com/problems/climbing-stairs/description,https://leetcode.com/problems/climbing-stairs/solutions
71, Simplify Path,"['String', 'Stack']",44.80%,FALSE,Medium,https://leetcode.com/problems/simplify-path/description,https://leetcode.com/problems/simplify-path/solutions
72, Edit Distance,"['String', 'Dynamic Programming']",57.60%,FALSE,Medium,https://leetcode.com/problems/edit-distance/description,https://leetcode.com/problems/edit-distance/solutions
73, Set Matrix Zeroes,"['Array', 'Hash Table', 'Matrix']",57.80%,FALSE,Medium,https://leetcode.com/problems/set-matrix-zeroes/description,https://leetcode.com/problems/set-matrix-zeroes/solutions
74, Search a 2D Matrix,"['Array', 'Binary Search', 'Matrix']",51.20%,FALSE,Medium,https://leetcode.com/problems/search-a-2d-matrix/description,https://leetcode.com/problems/search-a-2d-matrix/solutions
75, Sort Colors,"['Array', 'Two Pointers', 'Sorting']",65.40%,FALSE,Medium,https://leetcode.com/problems/sort-colors/description,https://leetcode.com/problems/sort-colors/solutions
76, Minimum Window Substring,"['Hash Table', 'String', 'Sliding Window']",44.00%,FALSE,Hard,https://leetcode.com/problems/minimum-window-substring/description,https://leetcode.com/problems/minimum-window-substring/solutions
77, Combinations,['Backtracking'],71.50%,FALSE,Medium,https://leetcode.com/problems/combinations/description,https://leetcode.com/problems/combinations/solutions
78, Subsets,"['Array', 'Backtracking', 'Bit Manipulation']",79.50%,FALSE,Medium,https://leetcode.com/problems/subsets/description,https://leetcode.com/problems/subsets/solutions
79, Word Search,"['Array', 'String', 'Backtracking', '1+']",43.90%,FALSE,Medium,https://leetcode.com/problems/word-search/description,https://leetcode.com/problems/word-search/solutions
80, Remove Duplicates from Sorted Array II,"['Array', 'Two Pointers']",60.70%,FALSE,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/solutions
81, Search in Rotated Sorted Array II,"['Array', 'Binary Search']",38.30%,FALSE,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/solutions
