Brand,model,Year,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,CarUrl
Maruti Suzuki,Swift,2019,"53,000 km",Manual,first,Petrol,Today,"Maruti Suzuki Swift LXI Optional-O, 2019, Petrol","₹ 5,00,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-in-uttam-nagar-delhi-iid-1785857954
Jaguar,XJ,2013,"35,000 km",Automatic,first,Diesel,Today,"Jaguar XJ 3.0L Portfolio, 2013, Diesel","₹ 30,00,000",https://olx.in/item/cars-c84-used-jaguar-xj-in-mulund-west-mumbai-iid-1789451108
BMW,3 Series GT,2016,60000.0 km,Automatic,second,Diesel,Yesterday,"BMW 3 Series GT 320d Sport Line, 2016, Diesel","₹ 22,50,000",https://olx.in/item/cars-c84-used-bmw-3-series-gt-in-gandhipuram-coimbatore-iid-1777609310
Hyundai,Aura,2020,"29,000 km",Manual,first,hybrid,Today,"Hyundai Aura 1.2 S CNG, 2020, CNG & Hybrids","₹ 6,50,000",https://olx.in/item/cars-c84-used-hyundai-aura-in-meerut-cantonment-residential-area-meerut-iid-1784098786
Maruti Suzuki,Ciaz,2016,"82,000 km",Automatic,first,Petrol,Today,"Maruti Suzuki Ciaz AT ZXi, 2016, Petrol","₹ 5,95,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ciaz-in-karol-bagh-delhi-iid-1785162027
Volkswagen,Tiguan,2018,"52,000 km",Automatic,first,Diesel,Today,"Volkswagen Tiguan 2.0 TDI Highline, 2018, Diesel","₹ 19,15,000",https://olx.in/item/cars-c84-used-volkswagen-tiguan-in-pala-kottayam-iid-1787273079
Maruti Suzuki,Swift-Dzire,2020,"98,000 km",Manual,second,hybrid,Yesterday,urgent foreign ja rahe hai is karke sale karni hai,"₹ 5,90,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-dhakansu-kalan-rajpura-iid-1790242558
Volkswagen,VentoTest,2017,"74,528 km",Automatic,first,Petrol,Today,"Volkswagen Vento, 2017, Petrol","₹ 7,75,000",https://olx.in/item/cars-c84-used-volkswagen-ventotest-in-edappally-kochi-iid-1785856996
Maruti Suzuki,Alto-K10,2015,"72,000 km",Manual,first,hybrid,Yesterday,"Maruti Suzuki Alto K10 1.0 VXI S-CNG, 2015, CNG & Hybrids","₹ 2,69,900",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-k10-in-delhi-cantonment-delhi-iid-1787389891
Hyundai,Grand i10,2018,"25,818 km",Automatic,first,Petrol,Today,"Hyundai Grand i10 [2017-2020] 1.2 Kappa VTVT Sportz AT, 2018, Petrol","₹ 4,98,000",https://olx.in/item/cars-c84-used-hyundai-grand-i10-in-pattar-ghore-ki-sarai-agra-iid-1784518265
Hyundai,Grand i10,2017,"54,000 km",Automatic,second,Petrol,Oct 23,"Hyundai Grand i10 1.2 Kappa Sportz Option AT, 2017, Petrol","₹ 4,75,000",https://olx.in/item/cars-c84-used-hyundai-grand-i10-in-bopal-ahmedabad-iid-1783042629
Mercedes-Benz,C Class,2015,"105,000 km",Automatic,second,Petrol,Yesterday,"Mercedes-Benz C Class Prime 200, 2015, Petrol","₹ 17,95,000",https://olx.in/item/cars-c84-used-mercedes-benz-c-class-in-punjabi-bagh-west-delhi-iid-1787812068
Maruti Suzuki,Wagon-R,2013,"80,000 km",Manual,first,hybrid,Today,"Maruti Suzuki Wagon R 2010-2012 LXI CNG, 2013, CNG & Hybrids","₹ 3,25,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-hadapsar-pune-iid-1781528892
Mahindra,TUV 300-plus,2018,"80,787 km",Manual,first,Diesel,Today,"Mahindra TUV 300 Plus P6, 2018, Diesel","₹ 6,25,000",https://olx.in/item/cars-c84-used-mahindra-tuv-300-plus-in-industrial-area-chandigarh-iid-1787975188
Hyundai,New Santro,2008,"110,705 km",Automatic,second,Petrol,Yesterday,Hyundai New Santro 20008 Petrol 110705 Km Driven,"₹ 89,000",https://olx.in/item/cars-c84-used-hyundai-new-santro-in-industrial-area-sangrur-sangrur-iid-1789721104
Jaguar,XF,2013,"85,000 km",Automatic,second,Diesel,Yesterday,"Jaguar XF 3.0 L Premium Luxury, 2013, Diesel","₹ 9,85,000",https://olx.in/item/cars-c84-used-jaguar-xf-in-anand-nagar-jalandhar-iid-1785826622
Hyundai,i20 Active,2016,"64,000 km",Manual,second,hybrid,Yesterday,"Hyundai i20 Active, 2016, CNG & Hybrids","₹ 4,25,000",https://olx.in/item/cars-c84-used-hyundai-i20-active-in-mg-road-gurgaon-iid-1789781275
Mercedes-Benz,CLA,2015,"95,000 km",Automatic,first,Diesel,Today,"Mercedes-Benz CLA, 2015, Diesel","₹ 16,61,000",https://olx.in/item/cars-c84-used-mercedes-benz-cla-in-kapodra-surat-iid-1785204346
Mahindra,TUV,2017,"169,450 km",Automatic,first,Diesel,Today,Mahindra TUV 300 2017 Diesel 169125 Km Driven,"₹ 5,87,999",https://olx.in/item/cars-c84-used-mahindra-tuv-in-hyder-nagar-hyderabad-iid-1790037698
Honda,City ZX,2022,"45,000 km",Manual,first,Petrol,Today,"Honda City ZX VTEC, 2022, Petrol","₹ 13,40,000",https://olx.in/item/cars-c84-used-honda-city-zx-in-talap-kannur-iid-1782621245
Maruti Suzuki,Ciaz,2017,"34,358 km",Manual,first,Petrol,3 days ago,"Maruti Suzuki Ciaz VXI(O), 2017, Petrol","₹ 5,51,355",https://olx.in/item/cars-c84-used-maruti-suzuki-ciaz-in-sector-40-noida-iid-1790076086
Maruti Suzuki,Alto,2011,"100,000 km",Manual,second,hybrid,Sep 20,"Maruti Suzuki Alto, 2011, CNG & Hybrids","₹ 1,65,000",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-in-rajdhani-society-gandhinagar-iid-1784291264
Toyota,2.8 Legender 4X2,2021,"33,000 km",Automatic,first,Diesel,Today,"Toyota Fortuner Legender 4X2 AT 2.8, 2021, Diesel","₹ 39,50,000",https://olx.in/item/cars-c84-used-toyota-28-legender-4x2-in-alkapuri-vadodara-iid-1790271195
Land Rover,Discovery Sport,2019,"53,546 km",Automatic,first,Diesel,Today,"Land Rover Discovery Sport TD4 HSE Luxury, 2019, Diesel","₹ 27,40,000",https://olx.in/item/cars-c84-used-land-rover-discovery-sport-in-ultadanga-kolkata-iid-1785669525
Tata,Safari,2021,"45,000 km",Manual,first,Diesel,Today,"Tata Safari 2.0 Kryotec XZ Plus 6 S, 2021, Diesel","₹ 17,50,000",https://olx.in/item/cars-c84-used-tata-safari-in-narhi-bazar-area-lucknow-iid-1789818846
Maruti Suzuki,Alto,2011,"61,000 km",Automatic,second,hybrid,6 days ago,Maruti Suzuki Alto 2011 CNG & Hybrids Well Maintained,"₹ 1,91,000",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-in-sathe-nagar-ghulewadi-iid-1789724517
Honda,Brio,2012,"90,000 km",Manual,second,hybrid,Today,"Honda Brio S (O) MT, 2012, CNG & Hybrids","₹ 1,95,000",https://olx.in/item/cars-c84-used-honda-brio-in-ina-delhi-iid-1789165847
Hyundai,Verna,2011,"108,000 km",Automatic,second,hybrid,2 days ago,Hyundai Verna 2011 CNG & Hybrids Well Maintained,"₹ 3,19,999",https://olx.in/item/cars-c84-used-hyundai-verna-in-kharadi-pune-iid-1781804222
Maruti Suzuki,Baleno,2019,"38,923 km",Automatic,first,Petrol,Today,"Maruti Suzuki Baleno 1.2 Alpha AT, 2019, Petrol","₹ 6,95,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-kakateeya-nagar-hyderabad-iid-1789353656
Mahindra,Bolero,2016,7688.0 km,Manual,first,Diesel,Today,"Mahindra Bolero SLX BS IV, 2016, Diesel","₹ 5,00,000",https://olx.in/item/cars-c84-used-mahindra-bolero-in-iritty-kannur-iid-1774131953
Hyundai,Creta,2020,"42,000 km",Manual,first,Diesel,Oct 22,"Hyundai Creta 1.5 EX Diesel, 2020, Diesel","₹ 11,20,000",https://olx.in/item/cars-c84-used-hyundai-creta-in-shamlata-hills-bhopal-iid-1787830346
Volvo,S90,2017,"60,000 km",Automatic,first,Diesel,Today,"Volvo S90 D4 Inscription, 2017, Diesel","₹ 32,00,000",https://olx.in/item/cars-c84-used-volvo-s90-in-santacruz-west-mumbai-iid-1779528429
Toyota,Innova Crysta,2019,"116,250 km",Automatic,second,Diesel,Today,Toyota Innova Crysta 2019 Diesel Well Maintained,"₹ 16,25,000",https://olx.in/item/cars-c84-used-toyota-innova-crysta-in-mukkam-kozhikode-iid-1790261172
Toyota,Innova Hycross,2024,"18,000 km",Automatic,first,hybrid,Nov 01,"Toyota Innova Hycross 2.0 ZX Hybrid 7 STR, 2024, CNG & Hybrids","₹ 34,85,000",https://olx.in/item/cars-c84-used-toyota-innova-hycross-in-sector-82-mohali-iid-1788725044
BMW,5 Series,2016,"47,000 km",Automatic,second,Diesel,Yesterday,"BMW 5 Series 3.0 530D M Sport, 2016, Diesel","₹ 25,00,000",https://olx.in/item/cars-c84-used-bmw-5-series-in-lokhandwala-complex-mumbai-iid-1788870743
BMW,3 Series,2012,"78,000 km",Automatic,second,Diesel,Yesterday,"BMW 3 Series 320D, 2012, Diesel","₹ 5,71,000",https://olx.in/item/cars-c84-used-bmw-3-series-in-versova-mumbai-iid-1775112945
Toyota,Innova,2011,103008.0 km,Manual,second,Diesel,Today,"Toyota Innova 2.5 G (Diesel) 8 Seater, 2011, Diesel","₹ 5,70,000",https://olx.in/item/cars-c84-used-toyota-innova-in-lothkunta-hyderabad-iid-1761613401
Mercedes-Benz,GLA Class,2015,"65,000 km",Automatic,first,Petrol,Today,"Mercedes-Benz GLA Class 2014-2017 200 Sport Edition, 2015, Petrol","₹ 16,90,000",https://olx.in/item/cars-c84-used-mercedes-benz-gla-class-in-janakpuri-delhi-iid-1790266600
Maruti Suzuki,Ertiga,2017,"68,350 km",Manual,second,hybrid,Yesterday,"Maruti Suzuki Ertiga VXI CNG, 2017, CNG & Hybrids","₹ 6,75,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-paschim-vihar-delhi-iid-1790195544
