Brand,model,Year,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,CarUrl
Hyundai,Xcent Prime,2019,"140,000 km",Manual,second,hybrid,Today,Good condition no mantanance work,"₹ 4,20,000",https://olx.in/item/cars-c84-used-hyundai-xcent-prime-in-kashigaon-thane-iid-1794218944
Maruti Suzuki,Wagon-R,2014,"71,000 km",Automatic,first,hybrid,Dec 11,Maruti Suzuki Wagon R 2014 CNG & Hybrids 80000 Km Driven,"₹ 2,10,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-sikandrabad-bulandshahr-iid-1792375961
Maruti Suzuki,Wagon-R,2014,"99,000 km",Manual,second,hybrid,Yesterday,Maruti Suzuki Wagon R 2014 CNG & Hybrids 99000 Km Driven,"₹ 3,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-gazipur-delhi-iid-1794190659
Tata,Tigor,2023,"30,000 km",Manual,first,hybrid,Today,"Tata Tigor 1.2 Revotron XZ Plus CNG, 2023, CNG & Hybrids","₹ 7,20,000",https://olx.in/item/cars-c84-used-tata-tigor-in-netaji-subhash-place-delhi-iid-1790807170
Mercedes-Benz,GLS,2021,"57,000 km",Automatic,first,Diesel,Today,"Mercedes-Benz GLS 400d 4MATIC, 2021, Diesel","₹ 95,75,000",https://olx.in/item/cars-c84-used-mercedes-benz-gls-in-vikaspuri-delhi-iid-1791840869
Maruti Suzuki,Ertiga,2012,"120,000 km",Manual,first,Diesel,Today,"Maruti Suzuki Ertiga 2012-2015 ZDI, 2012, Diesel","₹ 6,40,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-thindal-kil-erode-iid-1792422044
Nissan,Micra,2017,"78,000 km",Automatic,second,Petrol,Yesterday,"Nissan Micra 2012-2017 XV CVT, 2017, Petrol","₹ 3,98,000",https://olx.in/item/cars-c84-used-nissan-micra-in-malappuram-up-hill-malappuram-iid-1785872024
Maruti Suzuki,Ertiga,2018,"72,000 km",Manual,second,hybrid,Today,"Maruti Suzuki Ertiga VXI CNG, 2018, CNG & Hybrids","₹ 7,35,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-vithalwadi-thane-iid-1767095312
Hyundai,i10,2012,"50,000 km",Automatic,second,hybrid,5 days ago,2012 model ka last hai all ok hai,"₹ 1,65,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-saidpur-bhawan-bahadur-nagar-iid-1793821293
Maruti Suzuki,Ertiga,2022,"630,000 km",Manual,second,hybrid,Yesterday,Maruti Suzuki Ertiga 2022,"₹ 12,00,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-chandivali-mumbai-iid-1792287539
Maruti Suzuki,Swift-Dzire,2017,"62,480 km",Automatic,second,Petrol,Today,"Maruti Suzuki Swift Dzire ZXI+ AMT, 2017, Petrol","₹ 5,00,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-hazratganj-lucknow-iid-1791358204
Mercedes-Benz,C-Class,2016,"51,000 km",Automatic,second,Diesel,Today,"Mercedes-Benz C-Class C 220d, 2016, Diesel","₹ 16,95,000",https://olx.in/item/cars-c84-used-mercedes-benz-c-class-in-theatre-road-kolkata-iid-1786219421
